Date,ADM,CONAGRA,CPB,GMILLS,HORMEL,SMUCKER,MKC,HSY,TYSONS,FMC,MOSAIC,SYSCO,ALICO,INGREDION,ANDERSONS,BUNGE,ALTRIA,SSTA
10/15/1990,9.062529,8.884565,12.65625,8.975273,1.796875,,5.375,9.1875,9.5,5.556158,17.5625,4.3125,20.75,,,,16.125,0.3
10/22/1990,8.721466,8.592736,12.21875,8.975273,1.8125,,5.1875,8.46875,9.5,5.637467,18.25,4.10938,19.75,,,,15.541667,0.4
10/29/1990,9.062529,8.657588,12.53125,8.884875,1.875,,5.375,8.65625,8.916667,5.881396,18,3.82812,19.5,,,,16.166666,0.2
11-05-90,8.965082,9.208819,12.625,9.014015,1.875,,5.3125,8.90625,8.958333,5.718777,17.375,3.78125,18,,,,16.25,0.3
11-12-90,9.159976,8.78729,13.21875,9.168984,1.984375,,5.6875,8.8125,9.916667,5.989809,18,3.875,18.75,,,,16.041666,0
11/19/1990,9.013805,8.722439,13.8125,9.168984,2,,5.625,8.65625,10.041667,6.098222,17.625,3.82812,17.75,,,,16.041666,0
11/26/1990,9.013805,9.046693,14.25,9.788859,2.171875,,5.75,8.75,10.041667,6.477667,17.375,3.9375,18.5,,,,16.208334,-0.1
12-03-90,9.257422,9.760052,14.6875,9.711375,2.15625,,6.1875,9.5,10.5,6.694493,17.875,4.04688,18.75,,,,16.666666,0.3
12-10-90,8.770189,9.468223,14.625,10.021313,2.1875,,6,9.46875,10.791667,6.667389,18.25,4.1875,19,,,,16.875,0.3
12/17/1990,8.770189,9.533074,14.78125,10.098797,2.40625,,6.375,9.625,10.208333,6.884215,18.25,4.10938,18.75,,,,17.041666,0.4
12/24/1990,8.770189,9.565499,14.46875,9.918,2.34375,,6.4375,9.34375,10.291667,6.748699,17.625,4.10938,19,,,,16.958334,0.4
12/31/1990,8.33168,9.208819,13.75,9.272297,2.328125,,6.5,9.1875,9.916667,6.667389,17.625,3.90625,19.25,,,,16.458334,0.4
01-07-91,8.234233,9.014267,13.71875,9.427265,2.109375,,6.34375,9.1875,9.625,6.613183,17.0625,3.9375,19.25,,,,16.333334,0.4
1/14/1991,7.747001,9.338521,14.5625,9.943829,2.234375,,7,9.84375,10.041667,7.34497,17.75,4.14062,19,,,,17.541666,0.5
1/21/1991,7.990617,9.824903,15,9.478922,2.28125,,7.34375,9.90625,10.375,7.317866,18.875,4.25,19.5,,,,18.291666,0.5
1/28/1991,7.89317,10.084306,15.71875,9.685547,2.15625,,7.28125,9.9375,10.916667,7.670208,18.875,4.26562,18,,,,18.958334,0.3
02-04-91,8.672743,10.505836,16.21875,10.124625,2.25,,7.8125,10.28125,11.708333,7.480486,20.375,4.60938,20,,,,19.75,0.3
02-11-91,8.672743,10.830091,17.59375,10.667016,2.4375,,7.75,9.71875,11.625,8.266479,19.75,4.73438,23,,,,20.666666,0.3
2/18/1991,8.380404,10.959792,17.46875,11.002781,2.375,,7.75,9.9375,12.666667,7.887034,19.5,4.625,22.5,,,,22.583334,0.1
2/25/1991,8.770189,10.992218,17.5,10.899468,2.421875,,8.8125,9.96875,12.708333,8.158066,19.625,4.65625,22.5,,,,22,-0.1
03-04-91,8.867636,10.797666,17.78125,11.235234,2.359375,,8.5625,9.90625,12.791667,8.02255,20.25,4.95312,22.75,,,,22.375,-0.2
03-11-91,8.575296,10.667964,18.4375,11.416031,2.359375,,8.4375,9.625,12.75,7.914137,21.25,4.42188,22.5,,,,22.125,-0.1
3/18/1991,8.282956,11.154345,20.25,11.700141,2.8125,,9.25,10.15625,12.625,7.832828,21.3125,4.40625,22.5,,,,23.166666,0.1
3/25/1991,8.575296,11.673152,19.65625,11.932593,2.75,,10.125,10.21875,13,8.10386,21.6875,4.48438,22.5,,,,22.666666,0.3
04-01-91,9.306146,11.381323,20.71875,11.829281,2.875,,9.9375,10.375,13.25,7.805724,20,4.67188,23.5,,,,22.583334,0.2
04-08-91,8.867636,11.4786,21.03125,11.674313,2.734375,,9.5625,10.3125,13.958333,7.697311,20.4375,4.5625,21.75,,,,22.75,0.1
4/15/1991,9.062529,12.062257,21.09375,11.596828,2.75,,9.3125,10.3125,15.083333,8.61882,21.25,4.78125,22.25,,,,22.833334,0.4
4/22/1991,9.062529,11.381323,20.875,11.777625,2.75,,9.5,10.0625,15.333333,9.160885,21.375,4.84375,21,,,,22.541666,0.3
4/29/1991,9.111252,11.511024,20.84375,12.010078,2.59375,,9.625,10.46875,14.416667,9.730052,20.5625,4.96875,21.25,,,,23.041666,0.3
05-06-91,8.916359,11.381323,20.125,11.493516,2.421875,,9.4375,10.5625,13.916667,8.727233,19.125,4.92188,21.5,,,,22.5,0.5
5/13/1991,8.818913,11.511024,20.0625,12.113391,2.453125,,9,10.8125,13.916667,8.862749,18.625,4.95312,21,,,,21.625,0.5
5/20/1991,8.62402,11.802854,20.0625,11.98425,2.390625,,9.3125,10.875,13.833333,8.727233,18.9375,5.25,21.25,,,,22.666666,0.7
5/27/1991,8.770189,11.867704,19.4375,12.139218,2.46875,,9.3125,10.96875,14.833333,9.133781,20.75,5.375,22,,,,22.791666,0.7
06-03-91,8.867636,11.446174,18.65625,11.571,2.34375,,9.8125,10.71875,15.083333,9.323503,21.0625,5.17188,20.75,,,,22.125,0.6
06-10-91,9.354869,11.802854,18.6875,11.803453,2.390625,,9.9375,10.625,14.916667,9.431917,21.75,5.28125,22,,,,22.25,0.6
6/17/1991,9.403592,11.089494,18.34375,11.571,2.4375,,10.1875,10.125,14.5,9.45902,21.25,5.21875,21,,,,21.708334,0.8
6/24/1991,9.208699,10.830091,18.46875,11.674313,2.421875,,10,10.1875,13.75,9.54033,23.0625,5.125,20.75,,,,21.166666,0.9
07-01-91,9.354869,10.927367,18.53125,11.958422,2.4375,,10.125,10.5,13.5,9.946877,22.6875,5.20312,20.5,,,,21.875,0.7
07-08-91,9.744655,11.024643,19.3125,12.500813,2.53125,,10.4375,10.375,13.333333,9.54033,23,5.3125,20.75,,,,22.583334,0.8
7/15/1991,10.036995,11.284047,19.1875,12.578297,2.53125,,10.5625,10.4375,12.5,10.163703,23.6875,5.46875,20.75,,,,21.958334,0.7
7/22/1991,9.988271,11.18677,19.0625,12.3975,2.53125,,10.375,10.4375,12.666667,10.353426,24.3125,5.5625,20.5,,,,22.125,0.5
7/29/1991,9.452315,11.608301,20,12.81075,2.453125,,10.25,10.40625,12.5,10.082394,25.6875,5.82812,22,,,,22.958334,0.9
08-05-91,9.647208,11.413749,20.21875,12.939891,2.46875,,11.25,10.40625,12.666667,10.109497,26.5,5.5,22,,,,23.75,0.6
08-12-91,9.566814,11.997406,20.40625,12.81075,2.515625,,11.15625,10.3125,13.416667,10.407632,26.6875,5.51562,22,,,,23.875,0.7
8/19/1991,10.231888,12.483788,20.96875,13.017375,2.578125,,11.125,10.4375,13.666667,10.570251,28.625,5.75,22.75,,,,24.375,0.6
8/26/1991,10.538844,12.451362,21.03125,13.301484,2.53125,,11.25,10.46875,12.833333,10.461839,27.4375,5.78125,23.75,,,,24.708334,0.3
09-02-91,10.590004,11.932555,19.65625,13.094859,2.625,,10.875,10.0625,12.583333,10.353426,26.625,5.53125,21.75,,,,24.291666,0.3
09-09-91,10.231888,11.575875,18.78125,12.526641,2.484375,,11,9.8125,12.5,10.272117,28.375,5.42188,22,,,,24.166666,0.1
9/16/1991,10.231888,11.96498,19.03125,12.578297,2.5625,,9.9375,9.75,13,10.272117,28.5,5.46875,21.75,,,,24.291666,0.5
9/23/1991,10.334207,12.029831,18.90625,12.423328,2.625,,9.5625,9.78125,13.166667,10.272117,27.75,5.21875,21.75,,,,24.041666,0.4
9/30/1991,10.231888,11.932555,18.53125,12.216703,2.4375,,9.5,9.84375,12.916667,9.973981,26.875,4.85938,20,,,,23.791666,0.5
10-07-91,10.129569,11.381323,18.8125,12.655781,2.5,,9.6875,9.9375,13.166667,9.892672,25.125,5.09375,20,,,,24.041666,1
10/14/1991,10.89696,11.511024,19.375,12.939891,2.578125,,9.875,10.125,13.25,10.380529,26.75,5.14062,20,,,,24.291666,1.1
10/21/1991,11.050439,10.894941,18.625,12.345843,2.609375,,10,10.0625,13.083333,10.705768,24.75,5,20.125,,,,23.333334,0.9
10/28/1991,11.357395,11.089494,18.96875,12.759093,2.421875,,10.5,10.21875,13.5,11.112316,23.5625,5.23438,20,,,,23.083334,1.1
11-04-91,11.613193,11.381323,19.6875,13.378969,2.4375,,11.1875,10.09375,13.25,10.407632,24.4375,5.23438,20,,,,23.208334,1.1
11-11-91,11.203917,11.705577,19.3125,13.533937,2.59375,,11,10.28125,13,10.1366,25.6875,5.125,20.5,,,,22.833334,1.1
11/18/1991,10.8458,11.381323,19.15625,13.63725,2.59375,,10.375,9.21875,12.75,10.1366,24.75,5.15625,19.75,,,,22.791666,1.3
11/25/1991,11.203917,11.738003,19.40625,13.456453,2.546875,,10.3125,9.5,12.5,10.028188,24.625,5.04688,21.25,,,,22.583334,1.4
12-02-91,11.86899,12.305448,19.9375,14.179641,2.5,,11.4375,9.5,12.75,10.353426,26.125,5.21875,20.5,,,,22.625,1.5
12-09-91,12.278265,12.937743,19.625,13.998844,2.515625,,11.3125,10.09375,12.666667,10.1366,26.0625,5.32812,22,,,,23.541666,1.7
12/16/1991,12.841019,12.937743,19.9375,14.567062,2.546875,,12.125,10.25,13.25,9.757155,26.125,5.35938,21.5,,,,24.208334,2
12/23/1991,13.045656,13.715953,20.25,15.135282,2.578125,,12.9375,10.71875,13.083333,10.272117,28.4375,5.60938,21.25,,,,25.75,1.9
12/30/1991,12.994497,13.910506,21.625,15.677671,2.578125,,12.6875,11.1875,13.166667,10.21791,27.75,5.90625,22,,,,26.5,1.9
01-06-92,12.892179,13.618677,19.875,14.567062,2.5625,,12.9375,10.96875,13.666667,10.89549,28.75,5.5,22,,,,26.625,1.9
1/13/1992,12.636381,13.424125,19.4375,14.076328,2.71875,,13.25,10.59375,13,11.49176,32,5.53125,22.5,,,,25.583334,1.9
1/20/1992,12.636381,13.424125,20.1875,14.515407,2.671875,,12.625,10.625,12.333333,10.949697,32.625,5.39062,22,,,,25.5,1.8
1/27/1992,12.175946,12.937743,18.875,14.412094,2.671875,,13.25,10.28125,12.083333,10.326323,31.4375,5.25,22.5,,,,25.458334,1.7
02-03-92,12.78986,12.451362,18.875,13.869703,2.515625,,13.75,10.90625,12.166667,10.163703,31.25,5.32812,23.75,,,,25.25,1.7
02-10-92,12.431744,12.110895,19.5,14.205469,2.359375,,13.375,11,12.333333,10.461839,31.125,5.26562,24.25,,,,25,1.9
2/17/1992,11.76667,11.819066,19.0625,14.153812,2.359375,,12.8125,10.59375,11.75,10.434735,31.3125,5.51562,26.875,,,,25,2
2/24/1992,12.022468,10.846304,18.75,14.257125,2.359375,,13.1875,10.5625,12.25,10.461839,31.5,5.625,26.25,,,,25.583334,1.9
03-02-92,11.562033,10.992218,18.5,13.663078,2.328125,,13.4375,10.28125,11.666667,10.245013,30.5,5.54688,26.375,,,,24.916666,1.6
03-09-92,11.050439,10.749027,18.625,13.740562,2.25,,13.625,10.3125,11.416667,10.1366,27.0625,5.5625,25.25,,,,25.958334,1.6
3/16/1992,11.357395,10.700389,18.25,13.818047,2.28125,,12.625,10.3125,11.416667,10.190806,28.5625,5.6875,24.75,,,,25.708334,1.6
3/23/1992,10.8458,10.651751,18,13.301484,2.21875,,12.3125,10.03125,11.25,9.919774,26.4375,5.76562,25.5,,,,25.333334,1.6
3/30/1992,10.538844,10.651751,17.75,13.482282,2.25,,12.125,10.1875,11.583333,10.1366,26.75,5.84375,24.5,,,,25.791666,1.6
