"","V1","V2","V3"
"1",-11.5272688836799,-11.4858124442355,-11.5062758610749
"2",-7.72307943158828,-10.6535038425039,-10.538568856785
"3",-8.94864424704295,-8.97199377651158,-8.94861574934582
"4",-7.15335336157036,-7.6141221395127,-7.44936884482604
"5",-10.6042713753098,-10.6579374629124,-10.6702454165757
"6",-10.7167360659677,-10.7873976825641,-10.7379830186055
"7",-11.358144609527,-12.2162738773372,-12.1191452383191
"8",-10.0643865818855,-10.1936678330488,-10.17443914403
"9",-9.690525061557,-9.65448443563463,-9.67401564446783
"10",-8.96478754854811,-9.49014005034507,-9.50089464721513
"11",-10.3278541488031,-10.4019748242463,-10.4095398595101
