"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",0,0,0,0,0,0,0,0,0,0,0,0
"2",0.0181865801324427,9.21320842530388e-07,0.0167502854934477,0.00254927246471417,0.0109366628249074,0.0122396220580608,0.00917996287953113,0.00187692168539996,0.00208112472973511,0.00198515113773326,0.00243606400360917,0.00410474566815998
"3",0.0137209330048132,0.0114784723139546,0.0142978009888481,0.0176175003006237,0.0078900320242333,0.00941385427072756,0.0162324936729839,0.0122139822537565,0.0312756342564901,0.0190093481736355,0.00737441365532018,0.0217019774108263
"4",0.0124047926221836,0.0103541022206201,0.0139417302025965,0.0254182143158034,0.00744046396942803,0.0113333756630892,0.0410744073915563,0.0134583764253913,0.0310995546444828,0.0236955980473506,0.0208896532312788,0.0720655987889225
"5",0.0364252733943892,0.0112414324006659,0.0139553983107897,0.0324321188288923,0.012068297992085,0.0107804195487301,0.046996023631787,0.0150120232443627,0.0352968517011722,0.0303232666110578,0.0579989298592143,0.161755138462673
"6",0.0780319279721996,0.0112824166079632,0.017331280643378,0.0349897544764369,0.0421599709503825,0.0109607590826522,0.0470005260766642,0.0178709802244333,0.0451335241947178,0.0314331469794527,0.0748194215804351,0.204099995594121
"7",0.0852637251184817,0.0122202487432638,0.0182602342351646,0.0383668490934175,0.0556934464740791,0.0110897116257693,0.0474860245055914,0.0179431738709642,0.0450742654101874,0.0338259596087481,0.0815010662297307,0.226499291569593
"8",0.086253202361346,0.0190840362773056,0.0257565250570526,0.0380995806924154,0.0574607630063923,0.0106846142818179,0.0531205201375089,0.0233795258778709,0.0637990074889528,0.0444451375598804,0.0831330850097798,0.229704724460608
"9",0.0825762247901229,0.025416884456685,0.0284118778603492,0.0378027992593364,0.0529843428939681,0.0115166614365842,0.0547689624623969,0.0321463088984639,0.0705298885015181,0.0455596443228274,0.0793487627605764,0.222298656903396
"10",0.0781837812954016,0.0284012635940762,0.028512023398494,0.0363675363475976,0.0504341125425823,0.0110818268042763,0.0545707797219014,0.0354364757566482,0.0672932560622133,0.0428182766964399,0.0747205274715756,0.214399584982195
"11",0.0828988965619006,0.0274503102493035,0.027722281331224,0.0375260162857941,0.0539648729608037,0.0137050508646014,0.0549182299240112,0.0345646813814131,0.0634770135361964,0.0402303245578327,0.0727014734850701,0.229453106660081
"12",0.0991267957393789,0.0285845477507885,0.0284845676188883,0.0396706127724389,0.0572318021257014,0.0197891575770395,0.0561633904127919,0.0340122457560823,0.0620452824320271,0.0392152124795364,0.0778454041169982,0.264414706675088
"13",0.110506314922263,0.0303272177366478,0.0332445340982321,0.040985689206814,0.0566788712595736,0.0253319912575904,0.0558228730323873,0.0347209540871104,0.0623104758724615,0.0390512579338136,0.0914530705485376,0.298822885973868
"14",0.116454595454656,0.0326343029270653,0.0390996376877144,0.0410060225806779,0.0582694831056282,0.0261786165476835,0.0557159449994747,0.0358321116784837,0.0622996820679934,0.0392769174816504,0.10257320934022,0.316054171444412
"15",0.117844255129829,0.0333871188027803,0.041739424495119,0.0407914655049309,0.05930522453846,0.0261197591987016,0.0562306176171309,0.0366702638215456,0.062237898017721,0.0397292899789215,0.109397169860321,0.321814822383505
"16",0.117314170025611,0.0343451259759402,0.0427074515986676,0.0399546986325217,0.0592409179965693,0.025980364397156,0.0568019422023497,0.0371744547793487,0.0624460850222677,0.0398432224587008,0.113615447482458,0.322711767147251
"17",0.117540559401191,0.03457859132275,0.0429553113969387,0.0403001718064556,0.0587876701217196,0.0257276850263511,0.0568963010982367,0.0370433521444601,0.0624879946370314,0.0395331381411741,0.114661791703168,0.321830685895428
"18",0.118741040460552,0.0345152439213505,0.0428500482401569,0.040909583413604,0.0595362141382418,0.0262649082202,0.0568740606028335,0.0366618941832391,0.0619923215277476,0.0390733227669987,0.114728730051951,0.321303663543486
"19",0.120934398157927,0.0344900758060934,0.0428899315164847,0.0412957447155387,0.0599015956193945,0.0286263137306923,0.0568419753242232,0.0365245900681161,0.0617885435982865,0.0387511632503274,0.114543984641679,0.322165400290793
"20",0.123869898028336,0.0347389806040133,0.0433923794038046,0.0418149917566988,0.0599173991489009,0.0307494735996451,0.0568294510221589,0.0365490162632475,0.0615747209924804,0.0385922259859591,0.115347617757786,0.323466634001424
"21",0.125578489513511,0.0351835369256547,0.0443200500753537,0.0419290425232241,0.0600092587903107,0.0318003631947936,0.0568050901496151,0.0366002868054498,0.0615298335067948,0.0385491984258234,0.117048066483845,0.324387575567428
