Year,Quarter,price,total.pce,n.durable,n.motor,n.furnishing,n.recreational,n.otherdurable,n.total.nondurable,n.food,n.clothing,n.gasoline,n.othernondurable,n.services,n.housing.utilities,n.healthcare,n.transport,n.recreation,n.food.services,n.financial,n.other.services,n.housing,n.utilities,n.outpatient,n.hospital,n.motor.services,n.public.transport,n.savings,n.pce,n.nondurable,deflator,n.energy,auerbach,hamilton,rgdp,rpg,miles,sales
2016,Q1,103.428,12526.5,1323.7,471.327,297.7,352.7,201.9,2608.5,934.4,370.8,259.962,1043.2,8594.3,2306.2,2117.2,410.6,508.1,859.8,960.1,1035.2,2002.382,303.845,967.023,1156.298,268.075,142.492,1038.1,12266.538,2348.5,104.941,468.021,0,0,0.38467,-12.81181049,0.63634,-2.0476367
2016,Q2,104.036,12706.5,1336.3,474.852,300.6,356.5,204.3,2654,946.7,372.8,275.315,1059.2,8716.2,2341.1,2163.9,413.9,508.9,872.3,967.9,1048.7,2027.551,313.542,984.436,1185.527,271.275,142.614,945.1,12431.185,2378.7,105.657,497.511,0,0,0.5656,17.96887024,0.65687,3.5330057
2016,Q3,104.485,12845.2,1357.7,489.55,303.2,359.9,205,2656.3,946.5,375.1,272.994,1061.7,8831.2,2375.1,2156.5,419.1,518.2,880.2,987.1,1065.4,2050.384,324.764,981.475,1190.431,276.36,142.777,925.5,12572.206,2383.3,106.043,506.152,0,0,0.47791,-2.920393458,0.65307,3.0731984
2016,Q4,104.989,12989.4,1368.7,498.976,303.5,360.2,206.1,2680.1,949.3,373.3,291.292,1066.2,8940.6,2389.4,2202.8,427.5,528.9,881.6,995.1,1080.3,2072.725,316.641,1006.273,1214.851,281.953,145.524,926.5,12698.108,2388.8,106.551,512.074,0,0,0.43757,0.573790973,0.63838,-3.9749716
2017,Q1,105.528,13114.1,1375.6,489.096,309.8,368.2,208.5,2714.8,953.2,375.3,307.104,1079.2,9023.7,2402.4,2211.8,427.4,539,891.7,1012.3,1092.4,2093.044,309.309,1014.672,1223.553,280.216,147.192,1025.8,12806.996,2407.7,107.058,517.65,0,0,0.4433,4.158023323,0.36023,-4.920577
2017,Q2,105.735,13233.2,1393.4,489.719,312.9,378.2,212.6,2723.7,959.5,378.5,292.564,1093.2,9116.1,2438.2,2218.9,432.9,541.2,894.1,1030.4,1104.6,2111.671,326.5,1022.907,1225.778,284.481,148.37,1033.9,12940.636,2431.1,107.411,524.15,0,0,0.73967,2.118952456,0.29916,7.8333383
2017,Q3,106.156,13359.1,1411.2,497.742,316.3,379.9,217.3,2754.8,967.9,380.2,301.003,1105.8,9193.1,2458.2,2253.2,435.5,543.3,898.8,1044.8,1104.6,2134.12,324.103,1034.252,1250.352,286.745,148.769,1038.8,13058.097,2453.8,107.973,529.839,0,0,0.69848,1.528605639,0.31321,1.4993082
2017,Q4,106.873,13579.2,1445.7,516.402,322.6,386.3,220.4,2805.2,982.6,384.7,327.298,1110.5,9328.3,2492.6,2289.5,452.3,543.6,904.6,1074.1,1124.3,2156.562,336.057,1044.985,1268.178,298.94,153.341,1025.2,13251.902,2477.9,108.713,564.125,0,0,0.56794,2.140786372,0.29915,-3.5245301
2018,Q1,107.524,13679.6,1434.5,498.526,324.1,388.5,223.4,2833.2,988.3,385.5,340.579,1118.8,9411.9,2515.6,2307.7,450.1,549,914.2,1091.2,1130.1,2181.682,333.895,1062.939,1268.077,300.302,149.827,1220.2,13339.021,2492.6,109.355,575.592,0,0,0.54986,2.089972102,0.12364,-4.6259653
2018,Q2,108.052,13875.6,1458.7,504.574,331.3,392.6,230.2,2870.8,998,394.8,346.99,1131,9546.1,2548.5,2341.4,449.1,555.6,940.9,1102.7,1145.5,2209.353,339.105,1070.552,1287.281,295.16,153.969,1187.4,13528.61,2523.8,110.281,595.67,0,0,1.02387,10.44154273,0.04782,6.7707652
