DATE,apparel,,0.005098329,chemicals,,0.006186366,computer,,0.009969629,electrical,,0.003509738,fabricated,,0.009232141,food,,0.009342724,furniture,,0.003531167,machinery,,0.008155628,misc.durable,,0.004270272,misc.nondurable,,0.001968049,nonmetallic,,0.002998065,paper,,0.003866352,petroleum,,0.000878597,plastics,,0.005203655,primary,,0.003754152,printing,,0.004784775,textile.mills,,0.002891728,textile.product,,0.001428276,transport,,0.01153861,wood,,0.003264111
1/1/1994,-1.085268361,0.9882839,0.005038596,-0.747571784,0.9965143,0.006164802,-0.027178691,0.9987226,0.009956894,0.316173662,1.0029979,0.00352026,0.803771267,1.0082462,0.009308271,-0.447692783,1.0006391,0.009348695,0.936234946,1.0026762,0.003540617,0.870024679,1.0081884,0.00822241,0.159250993,1.000939,0.004274282,-0.843696917,0.9940353,0.00195631,0.688081188,1.0033627,0.003008147,-0.025921183,0.9961657,0.003851527,-1.131655409,0.9968227,0.000875805,1.264312271,1.0032338,0.005220483,0.7646742,1.005865,0.00377617,0.567081046,0.9996539,0.004783119,-0.229676558,0.984767,0.002847678,1.274465598,0.9955247,0.001421884,0.357875834,0.9998904,0.011537345,2.083804465,1.0065511,0.003285495
4/1/1994,-0.280569621,0.9867454,0.004971812,-0.893511556,0.9955091,0.006137117,-0.181625548,1.0000615,0.009957506,0.851241627,1.0030605,0.003531034,0.934808963,1.0052382,0.00935703,-0.237292353,0.998124,0.009331157,1.046387686,0.9979161,0.003533239,1.045402074,1.0076832,0.008285584,-0.035882462,1.0000057,0.004274306,-0.909681748,0.9922788,0.001941205,0.892835443,0.9987036,0.003004247,-0.285776353,0.9954058,0.003833833,-0.326907669,0.9959628,0.00087227,1.335015773,1.0023231,0.00523261,0.427533139,1.0024565,0.003785446,0.350989568,0.9965825,0.004766773,-0.406134486,0.981896,0.002796124,0.999490055,0.9984227,0.001419641,0.291232066,0.9951407,0.011481282,1.313974875,1.0032814,0.003296276
7/1/1994,-0.282442027,0.9857376,0.004900902,-0.811892475,0.9962945,0.006114376,0.070069965,1.0009828,0.009967292,0.481111954,1.0001946,0.003531721,1.063953083,1.0070248,0.009422761,0.198839311,0.9973816,0.009306724,1.447144127,1.0011832,0.003537419,0.471573453,1.0060272,0.008335523,0.104851004,1.0003001,0.004275589,-1.149262261,0.9953813,0.001932239,0.359116446,1.001773,0.003009573,-0.006134372,0.9960495,0.003818687,0.48130127,1.0023118,0.000874286,0.827229715,1.0048662,0.005258073,1.011068534,1.0076358,0.003814351,0.421765203,0.9984217,0.004759249,0.337597712,0.9909956,0.002770947,1.228824153,1.0009527,0.001420994,0.669085935,1.004961,0.011538241,1.37378138,1.0007702,0.003298814
10/1/1994,-0.268853659,0.9922782,0.004863058,-0.980991095,0.9942262,0.006079072,0.046959468,1.0034107,0.010001288,-0.171040224,1.0012602,0.003536171,0.905933737,1.0094588,0.009511889,-0.181151222,0.9978541,0.009286753,0.566959466,1.0029642,0.003547905,0.967077392,1.0094212,0.008414053,-0.106426536,0.9993403,0.004272768,-1.162059078,0.99591,0.001924336,0.35513235,1.0037766,0.003020939,0.009388551,0.997551,0.003809335,-0.030626895,0.9965499,0.00087127,1.10450723,1.0056247,0.005287648,1.03255717,1.011282,0.003857385,0.313298045,1.0031732,0.004774351,0.086512931,0.9943404,0.002755264,-0.030614393,0.9961964,0.001415589,1.450681635,1.0106901,0.011661586,0.938977952,1.0059102,0.003318311
1/1/1995,-1.686303578,0.9878879,0.004804156,-0.361807512,0.9953443,0.00605077,0.347913131,1.0080909,0.010082207,0.464492075,1.0085462,0.003566392,1.120286816,1.0121897,0.009627836,0.207140576,0.9966089,0.00925526,0.321527808,1.0008849,0.003551045,1.219341033,1.013306,0.008526011,-0.301268268,0.9973855,0.004261597,-0.897752681,0.9948001,0.00191433,0.433807375,1.004466,0.003034431,-0.129656846,0.9978486,0.00380114,-1.356332229,0.989475,0.0008621,1.080459257,1.0074221,0.005326894,0.318072787,1.0118179,0.003902971,0.708529544,1.0032731,0.004789978,-0.065549124,0.9901278,0.002728064,0.440762037,0.9947882,0.001408211,0.734393313,1.0040756,0.011709113,0.575143317,1.0046587,0.00333377
4/1/1995,-2.098268756,0.987871,0.004745887,-0.646976974,0.997392,0.00603499,0.511548032,1.0140852,0.010224217,-0.471089634,1.0076764,0.003593769,0.445496062,1.0150565,0.009772798,0.287600548,1.0004661,0.009259574,-1.091459372,1.00358,0.003563757,0.915909241,1.0160409,0.008662776,-0.356930074,1.0016036,0.004268431,-1.477449208,0.9938173,0.001902494,0.055120468,1.0014515,0.003038835,-0.228781942,1.0002925,0.003802251,-1.128650518,1.0011714,0.00086311,-0.317417005,1.0027558,0.005341574,0.317064291,1.010596,0.003944327,-0.087604917,1.0058763,0.004818126,-1.354044509,0.9936299,0.002710686,-1.918852272,0.9888739,0.001392543,-0.297932178,1.0108305,0.011835929,-1.099988957,0.9978772,0.003326693
7/1/1995,-2.649345085,0.9813328,0.004657294,-0.416000052,0.9963652,0.006013054,0.82979168,1.009039,0.010316634,-0.912100713,0.9974074,0.003584452,-0.134465109,1.0052376,0.009823984,0.399829487,1.0013565,0.009272135,-1.18065674,0.994398,0.003543793,0.529174207,1.009347,0.008743747,-0.217475503,0.9992019,0.004265024,-0.845656384,0.9916991,0.001886702,-0.65451455,0.9971781,0.00303026,-0.386149867,0.9959522,0.003786861,-1.83782176,0.9913181,0.000855616,-0.771172073,0.9949786,0.005314751,-0.450777202,1.0010634,0.003948521,-0.094412055,1.0004039,0.004820072,-2.5797943,0.9775937,0.002649949,-1.649642444,0.9853448,0.001372135,-0.675692573,0.9970134,0.01180058,-0.148169066,0.998284,0.003320984
10/1/1995,-3.618254072,0.975249,0.004542022,-0.301185644,0.9962661,0.005990602,1.031757183,1.0027967,0.010345486,-0.235963797,0.9980073,0.003577309,0.090198929,1.0014576,0.009838303,-0.066848054,0.9980761,0.009254296,-0.059709546,0.9956466,0.003528366,0.553642543,1.0019216,0.008760549,0.099724747,0.9998706,0.004264472,-0.670919113,0.9913113,0.001870309,-0.344557565,0.99737,0.00302229,-0.927617376,0.9929516,0.003760169,-1.225661384,0.9977114,0.000853658,0.001043261,0.9949404,0.005287861,0.171758705,0.998109,0.003941054,-0.369132539,0.9971554,0.00480636,-1.939408466,0.9791359,0.00259466,-0.760485111,0.9947437,0.001364923,-1.515169213,0.9890134,0.011670932,0.534627211,0.9948638,0.003303927
1/1/1996,-2.331119463,0.9794728,0.004448787,-0.127443649,0.9935301,0.005951843,0.825325797,0.9881145,0.010222525,-0.340318607,0.9918366,0.003548106,0.133992248,0.9971316,0.009810083,-0.190337509,0.9967988,0.009224671,-0.375492484,0.993686,0.003506087,0.137510217,0.99486,0.008715519,-0.351843901,0.9962282,0.004248388,-1.12705794,0.9915808,0.001854562,-0.344194243,0.9952773,0.003008017,-0.65391912,0.9913873,0.003727784,-0.019413392,1.0042662,0.0008573,-0.432372435,0.996661,0.005270205,-0.072742378,0.9933796,0.003914963,-0.180076114,0.9933716,0.004774502,-1.925217462,0.9814073,0.002546419,-0.802100958,0.996763,0.001360505,-0.035035882,0.993044,0.011589749,-0.395212906,0.9954823,0.003289001
4/1/1996,-2.424953422,0.9794378,0.00435731,-0.475983454,0.991441,0.005900901,0.235517497,0.9924784,0.010145635,-0.096725029,0.9934561,0.003524888,-0.106462353,0.9982955,0.009793361,-0.850519165,0.9934551,0.009164297,-0.388339635,0.9915769,0.003476555,-0.205290975,0.9969233,0.008688704,-0.393187976,0.9943649,0.004224448,-1.087066727,0.9938486,0.001843154,0.517289071,0.9980983,0.003002297,-0.810701327,0.9915447,0.003696265,-0.856614693,0.9921531,0.000850573,0.095437613,0.9981106,0.005260247,-0.218386023,0.9970561,0.003903438,-0.701696061,0.9912878,0.004732906,-1.306791635,0.980372,0.002496437,-0.299684556,0.9914907,0.001348928,0.559830372,0.9995199,0.011584184,0.633155122,0.9985673,0.003284289
